id,nity_area,caseno,Date,block,Type,Type_desc,Where,Arrest,Domestic,District,Community_area,Year,Time,Latitude,Longitude,IPC,Session,Day
10,12583268,JF101709,03-01-2022,061XX S EBERHART AVE,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,3,42,2015,0:50:00,30.6351046,80.52415107,352,Late Night,Wednesday
11,12584513,JF102387,03-01-2022,022XX E 84TH ST,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,4,46,2015,15:00:00,28.71157086,77.68398316,378,Noon,Wednesday
12,12583764,JF102445,03-01-2022,026XX S TROY ST,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,10,30,2015,13:00:00,31.18204369,79.92666575,378,Noon,Wednesday
13,12583799,JF102474,03-01-2022,041XX S PULASKI RD,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,8,57,2015,17:00:00,29.23320813,78.51703183,378,Evening,Wednesday
14,12586131,JF104724,03-01-2022,0000X E JACKSON BLVD,THEFT,POCKET-PICKING,RESTAURANT,FALSE,FALSE,1,32,2015,13:00:00,29.25799979,79.34827175,378,Noon,Wednesday
15,12584264,JF102994,03-01-2022,012XX N ARTESIAN AVE,THEFT,OVER $500,STREET,FALSE,FALSE,14,24,2015,15:00:00,29.39376034,78.20453328,378,Noon,Wednesday
16,12586756,JF102622,03-01-2022,007XX E 79TH ST,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,6,69,2015,20:30:00,29.137005,78.89880267,352,Night,Wednesday
17,12583612,JF102121,03-01-2022,009XX E 40TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2,36,2015,12:40:00,28.8524693,78.62915139,352,Noon,Wednesday
18,12583974,JF102404,03-01-2022,008XX N MAY ST,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,12,24,2015,13:53:00,30.10709479,78.07767542,379,Noon,Wednesday
19,12586128,JF104749,01-01-2022,034XX N CLARK ST,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,19,6,2015,2:00:00,28.52364941,79.47716453,378,Late Night,Monday
20,12583670,JF102195,03-01-2022,008XX N RUSH ST,ROBBERY,ARMED - HANDGUN,BANK,FALSE,FALSE,18,8,2015,13:30:00,30.16233373,80.36746724,392,Noon,Wednesday
21,12584449,JF103308,03-01-2022,042XX S DR MARTIN LUTHER KING JR SD,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2,38,2015,17:00:00,29.23574121,78.30382423,427,Evening,Wednesday
22,12585382,JF104407,03-01-2022,047XX S WINCHESTER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,9,61,2015,10:00:00,29.42485562,81.05994629,427,Morning,Wednesday
23,12585785,JF104785,01-01-2022,083XX S COTTAGE GROVE AVE,THEFT,$500 AND UNDER,CTA BUS,FALSE,FALSE,6,44,2015,14:00:00,29.64518612,78.03038575,378,Noon,Monday
24,12585041,JF103804,05-01-2022,059XX S SACRAMENTO AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,8,66,2015,1:00:00,29.51348624,80.75610618,352,Late Night,Friday
25,12586157,JF103742,05-01-2022,087XX S STONY ISLAND AVE,ROBBERY,ARMED - HANDGUN,RESTAURANT,FALSE,FALSE,4,48,2015,3:30:00,31.18732743,78.45652,392,Late Night,Friday
26,12585314,JF104327,05-01-2022,032XX W ARMITAGE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,14,22,2015,17:25:00,29.4971993,78.20448674,352,Evening,Friday
27,12588475,JF104855,03-01-2022,097XX S LA SALLE ST,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,5,49,2015,10:00:00,30.69844564,78.20206293,379,Morning,Wednesday
28,12584994,JF103805,05-01-2022,071XX S ASHLAND AVE,ASSAULT,AGGRAVATED - HANDGUN,RESTAURANT,FALSE,FALSE,7,67,2015,3:08:00,29.81609298,80.09822319,352,Late Night,Friday
29,12586668,JF105904,05-01-2022,036XX W CORNELIA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,17,21,2015,17:00:00,31.0048718,78.35704307,279,Evening,Friday
30,12585559,JF104535,05-01-2022,020XX N DAMEN AVE,ROBBERY,ARMED - OTHER FIREARM,CONVENIENCE STORE,FALSE,FALSE,14,22,2015,22:20:00,30.69791234,78.46064503,392,Night,Friday
31,12585449,JF104420,05-01-2022,022XX N MENARD AVE,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,25,19,2015,19:12:00,30.98658224,78.56502242,352,Evening,Friday
32,12587469,JF106955,05-01-2022,035XX N WILTON AVE,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,19,6,2015,18:00:00,28.53512799,79.19130684,378,Evening,Friday
33,12585138,JF104075,05-01-2022,0000X W HURON ST,THEFT,$500 AND UNDER,GROCERY FOOD STORE,FALSE,FALSE,18,8,2015,12:30:00,31.47664913,78.62960969,378,Noon,Friday
34,12585358,JF104433,05-01-2022,047XX S WOODLAWN AVE,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2,39,2015,13:00:00,28.89635434,80.58972089,378,Noon,Friday
35,12585462,JF104455,05-01-2022,034XX S RHODES AVE,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,FALSE,FALSE,2,35,2015,20:08:00,30.62333217,79.97918822,352,Night,Friday
36,12585388,JF104409,05-01-2022,057XX W DAKIN ST,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,16,15,2015,18:15:00,29.46966743,78.61903375,352,Evening,Friday
37,12585238,JF104212,05-01-2022,018XX N MASON AVE,THEFT,OVER $500,STREET,FALSE,FALSE,25,25,2015,9:30:00,30.64569316,79.22651125,378,Morning,Friday
38,12585528,JF104479,05-01-2022,096XX S WENTWORTH AVE,BATTERY,SIMPLE,STREET,FALSE,FALSE,5,49,2015,19:59:00,30.6831351,77.60778937,352,Evening,Friday
39,12585790,JF104894,05-01-2022,024XX W BALMORAL AVE,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,20,4,2015,22:00:00,29.29677867,79.03099821,427,Night,Friday
40,12585128,JF104056,05-01-2022,018XX W JACKSON BLVD,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,12,28,2015,13:00:00,30.45544772,77.87988764,352,Noon,Friday
41,12585542,JF104540,05-01-2022,020XX N PULASKI RD,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,TRUE,TRUE,25,20,2015,22:30:00,29.07156034,80.80009334,352,Night,Friday
42,12588734,JF108508,05-01-2022,013XX S SPRINGFIELD AVE,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,10,29,2015,12:00:00,29.59403281,77.51840721,378,Noon,Friday
43,12585113,JF104072,05-01-2022,046XX N KENTON AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,17,16,2015,0:00:00,28.58058088,77.93264457,206,Late Night,Friday
44,12585586,JF104548,05-01-2022,040XX W KAMERLING AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,25,23,2015,23:28:00,30.40920727,77.84884059,352,Night,Friday
45,12586288,JF105393,05-01-2022,028XX W WALNUT ST,THEFT,OVER $500,STREET,FALSE,FALSE,12,27,2015,5:00:00,31.54835829,78.15800019,378,Early Morning,Friday
46,12582827,JF100757,01-01-2022,016XX N DAMEN AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,14,24,2015,17:40:00,30.9642325,79.15686691,378,Evening,Monday
47,12582047,JF100266,01-01-2022,082XX S HOUSTON AVE,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,4,46,2015,5:38:00,28.8322651,77.52002899,352,Early Morning,Monday
48,12595724,JF117000,14-01-2022,033XX N AVERS AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,17,21,2015,7:09:00,28.62101331,77.93211213,38-42,Early Morning,Sunday
49,12593798,JF114585,14-01-2022,017XX N MASON AVE,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,25,25,2015,8:00:00,30.81077015,78.48694967,427,Morning,Sunday
50,12592248,JF112443,14-01-2022,071XX S COLES AVE,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,FALSE,TRUE,3,43,2015,9:37:00,30.46517691,78.40271981,352,Morning,Sunday
51,12591958,JF112279,14-01-2022,011XX W CHICAGO AVE,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,12,24,2015,6:30:00,29.04691499,79.96981942,427,Early Morning,Sunday
52,12591857,JF112187,14-01-2022,009XX S KEELER AVE,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,FALSE,TRUE,11,26,2015,2:30:00,28.85033389,80.01310315,352,Late Night,Sunday
53,12592352,JF112815,14-01-2022,117XX S MARSHFIELD AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,22,75,2015,3:00:00,29.572356,78.60636649,378,Late Night,Sunday
54,12592444,JF112998,14-01-2022,012XX S WABASH AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,1,33,2015,6:10:00,30.56841012,78.28263935,378,Early Morning,Sunday
55,12592055,JF112396,14-01-2022,020XX W ARTHUR AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,24,2,2015,9:02:00,30.39759715,78.01870863,427,Morning,Sunday
56,12592007,JF112360,14-01-2022,016XX W 82ND ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,6,71,2015,4:00:00,30.16093564,78.49509782,279,Early Morning,Sunday
57,12592395,JF112744,14-01-2022,036XX W 56TH ST,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,8,62,2015,2:00:00,30.79531039,77.67558423,427,Late Night,Sunday
58,12592667,JF113032,14-01-2022,044XX S WOOD ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,9,61,2015,6:53:00,31.01025395,78.49103092,352,Early Morning,Sunday
59,12596408,JF117721,09-01-2022,062XX N LEMONT AVE,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESIDENCE,FALSE,FALSE,17,12,2015,14:30:00,30.05783886,80.13320565,206,Noon,Tuesday
60,12593488,JF114166,14-01-2022,002XX W ERIE ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,18,8,2015,12:04:00,29.8305336,78.28541685,352,Noon,Sunday
61,12594803,JF115850,14-01-2022,071XX S FRANCISCO AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,8,66,2015,10:00:00,29.80728534,80.25785668,38-42,Morning,Sunday
62,12592955,JF113477,14-01-2022,042XX N KEDVALE AVE,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,17,16,2015,4:30:00,31.04750957,77.954217,378,Early Morning,Sunday
63,12592120,JF112340,14-01-2022,081XX S ESCANABA AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,4,46,2015,8:30:00,29.24968262,79.38411615,352,Morning,Sunday
64,12592514,JF113076,14-01-2022,012XX S KILDARE AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,10,29,2015,7:31:00,31.14919408,77.576756,427,Early Morning,Sunday
65,12592755,JF113226,14-01-2022,008XX W IRVING PARK RD,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,TRUE,FALSE,19,3,2015,11:36:00,30.62556708,80.38610074,352,Morning,Sunday
66,12594574,JF115506,14-01-2022,042XX S MICHIGAN AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,FALSE,TRUE,2,38,2015,8:45:00,30.47973194,80.82060706,38-42,Morning,Sunday
67,12592815,JF112702,14-01-2022,076XX S STEWART AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,6,69,2015,2:00:00,31.59592681,78.33672053,352,Late Night,Sunday
68,12592233,JF112595,14-01-2022,006XX S CENTRAL PARK AVE,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,11,27,2015,12:00:00,28.67471321,80.60616507,352,Noon,Sunday
69,12594050,JF114829,14-01-2022,035XX W POLK ST,THEFT,OVER $500,APARTMENT,FALSE,TRUE,11,27,2015,4:00:00,29.80837756,78.69785066,378,Early Morning,Sunday
70,12592197,JF112246,14-01-2022,002XX S STATE ST,ROBBERY,STRONG ARM - NO WEAPON,CTA PARKING LOT / GARAGE / OTHER PROPERTY,TRUE,FALSE,1,32,2015,5:15:00,29.750177,79.60991927,392,Early Morning,Sunday
71,12582615,JF100904,01-01-2022,073XX N ROGERS AVE,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,TRUE,FALSE,24,1,2015,21:59:00,28.75050262,81.16477227,352,Night,Monday
72,12582674,JF100952,01-01-2022,002XX N MICHIGAN AVE,THEFT,POCKET-PICKING,HOTEL / MOTEL,FALSE,FALSE,1,32,2015,13:57:00,31.35881226,80.42896312,378,Noon,Monday
73,12604305,JF126634,21-01-2022,001XX N ABERDEEN ST,THEFT,$500 AND UNDER,CONSTRUCTION SITE,FALSE,FALSE,12,28,2015,12:00:00,31.05754798,77.84003748,378,Noon,Sunday
74,12602928,JF125603,27-01-2022,008XX N CHRISTIANA AVE,ASSAULT,SIMPLE,OTHER (SPECIFY),FALSE,FALSE,11,23,2015,11:00:00,29.27749631,79.64544172,352,Morning,Saturday
75,12603424,JF126277,27-01-2022,020XX S CLARK ST,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,TRUE,FALSE,1,34,2015,7:10:00,28.75167615,78.10365655,279,Early Morning,Saturday
76,12603385,JF126246,27-01-2022,047XX W VAN BUREN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,11,25,2015,8:20:00,28.87610949,80.27623117,279,Morning,Saturday
77,12603224,JF126187,27-01-2022,031XX S INDIANA AVE,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2,35,2015,6:50:00,30.96243844,78.47541276,378,Early Morning,Saturday
78,12603336,JF126082,27-01-2022,071XX S YATES BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,3,43,2015,5:00:00,29.13773861,80.78995199,352,Early Morning,Saturday
79,12606816,JF130615,27-01-2022,007XX W GLADYS AVE,THEFT,OVER $500,APARTMENT,FALSE,FALSE,12,28,2015,12:00:00,28.80497406,80.65973759,378,Noon,Saturday
80,12603906,JF127053,27-01-2022,013XX S MICHIGAN AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,FALSE,TRUE,1,33,2015,11:00:00,29.75680209,78.41722947,38-42,Morning,Saturday
81,12603871,JF126895,27-01-2022,013XX N WALLER AVE,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,FALSE,FALSE,25,25,2015,10:00:00,30.6700575,78.50794286,206,Morning,Saturday
82,12603252,JF126176,27-01-2022,043XX S HERMITAGE AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,9,61,2015,6:59:00,28.516172,78.718373,427,Early Morning,Saturday
83,12602857,JF125569,27-01-2022,066XX S WASHTENAW AVE,ASSAULT,SIMPLE,APARTMENT,TRUE,TRUE,8,66,2015,10:00:00,31.35022781,79.61439428,352,Morning,Saturday
84,12607178,JF130907,02-01-2022,062XX W ESTES AVE,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,FALSE,FALSE,16,12,2015,0:00:00,30.77420318,77.56109098,206,Late Night,Tuesday
85,12602698,JF125363,27-01-2022,004XX N MICHIGAN AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,18,8,2015,6:55:00,28.5886491,78.59733007,378,Early Morning,Saturday
86,12604506,JF127723,27-01-2022,085XX S PARNELL AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,FALSE,FALSE,6,71,2015,4:00:00,29.91825233,78.89571512,379,Early Morning,Saturday
87,12605856,JF126900,27-01-2022,0000X W 95TH ST,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,6,49,2015,5:00:00,30.72115199,78.84303032,378,Early Morning,Saturday
88,12607380,JF130379,26-01-2022,004XX E SUPERIOR ST,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,FALSE,FALSE,18,8,2015,6:30:00,30.66846402,79.5233207,378,Early Morning,Friday
89,12603852,JF126305,27-01-2022,015XX W PRATT BLVD,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,FALSE,FALSE,24,1,2015,9:19:00,30.7175227,80.54256462,379,Morning,Saturday
90,12603109,JF126068,27-01-2022,091XX S STONY ISLAND AVE,OTHER OFFENSE,TELEPHONE THREAT,GAS STATION,FALSE,FALSE,4,48,2015,5:00:00,31.49162791,77.81278051,38-42,Early Morning,Saturday
91,12607404,JF131294,11-01-2022,036XX W LELAND AVE,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,17,14,2015,19:00:00,30.80458674,77.80994458,378,Evening,Thursday
92,12607264,JF130906,12-01-2022,060XX N KENMORE AVE,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,24,77,2015,12:00:00,29.48704386,79.40031913,206,Noon,Friday
93,12603318,JF125685,27-01-2022,036XX W CHICAGO AVE,BATTERY,SIMPLE,SCHOOL - PRIVATE BUILDING,FALSE,FALSE,11,23,2015,11:40:00,30.39576173,78.53433105,352,Morning,Saturday
94,12607137,JF130880,12-01-2022,042XX N HAZEL ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,19,3,2015,12:00:00,28.54818956,77.4655983,206,Noon,Friday
95,12605485,JF128934,27-01-2022,013XX W 31ST PL,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,9,60,2015,3:00:00,28.92620437,77.83074864,378,Late Night,Saturday
96,12609579,JF133991,01-01-2022,035XX W CERMAK RD,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),FALSE,TRUE,10,29,2015,0:00:00,30.79631886,80.7737069,38-42,Late Night,Monday
97,12605264,JF128592,30-01-2022,056XX S MICHIGAN AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2,40,2015,10:40:00,30.99357494,78.55619833,427,Morning,Tuesday
98,12610429,JF133892,21-01-2022,003XX E 116TH ST,DECEPTIVE PRACTICE,FORGERY,OTHER (SPECIFY),FALSE,FALSE,5,53,2015,9:00:00,30.33263055,79.88244004,206,Morning,Sunday
99,12605041,JF128412,30-01-2022,051XX N KIMBALL AVE,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,17,13,2015,3:00:00,30.18583602,78.73741784,352,Late Night,Tuesday
100,12605000,JF128343,30-01-2022,045XX S DREXEL BLVD,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,2,39,2015,12:52:00,31.10169947,78.87688,392,Noon,Tuesday
101,12605167,JF128526,30-01-2022,017XX W HOWARD ST,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,24,1,2015,8:51:00,31.42607357,77.73940306,378,Morning,Tuesday
102,12605616,JF129111,30-01-2022,046XX W DIVERSEY AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,25,20,2015,9:26:00,29.20196975,78.61847713,378,Morning,Tuesday
103,12605269,JF128613,30-01-2022,021XX N NARRAGANSETT AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,25,19,2015,10:58:00,29.56290397,77.46771716,352,Morning,Tuesday
104,12605128,JF128428,30-01-2022,027XX W 68TH ST,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,TRUE,FALSE,8,66,2015,4:15:00,29.16788334,79.86774389,352,Early Morning,Tuesday
105,12606059,JF128610,30-01-2022,117XX S ASHLAND AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,22,75,2015,11:00:00,31.12384504,79.40398913,352,Morning,Tuesday
106,12605513,JF129012,30-01-2022,047XX N ELSTON AVE,THEFT,RETAIL THEFT,CONVENIENCE STORE,FALSE,FALSE,17,16,2015,7:30:00,29.93797437,77.6408322,378,Early Morning,Tuesday
107,12605540,JF129074,30-01-2022,067XX S GREEN ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,7,68,2015,8:15:00,30.89400609,79.30815637,38-42,Morning,Tuesday
108,12606843,JF130662,30-01-2022,035XX W OHIO ST,THEFT,$500 AND UNDER,OTHER (SPECIFY),FALSE,FALSE,11,23,2015,11:00:00,30.49693242,78.77103635,378,Morning,Tuesday
109,12606104,JF129729,30-01-2022,021XX N ELSTON AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,14,22,2015,5:55:00,29.13459431,79.95426866,378,Early Morning,Tuesday
110,12605804,JF129112,30-01-2022,052XX S CARPENTER ST,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,FALSE,TRUE,9,61,2015,9:58:00,31.42147967,80.05173343,352,Morning,Tuesday
111,12605181,JF128543,30-01-2022,117XX S PEORIA ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,TRUE,TRUE,5,53,2015,9:33:00,28.87680832,79.4398927,427,Morning,Tuesday
112,12605463,JF128947,30-01-2022,071XX S SANGAMON ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,7,68,2015,5:44:00,31.16499413,79.86642328,352,Early Morning,Tuesday
113,12609981,JF134462,12-01-2022,002XX E 31ST ST,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2,35,2015,1:41:00,29.14295437,77.75380307,378,Late Night,Friday
114,12610235,JF134729,29-01-2022,048XX W ADDISON ST,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,16,15,2015,3:38:00,30.14186576,80.32412693,378,Late Night,Monday
115,12605589,JF128900,30-01-2022,029XX W DEVON AVE,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,TRUE,FALSE,24,2,2015,4:40:00,30.14615209,81.03991425,427,Early Morning,Tuesday
116,12612822,JF137880,02-02-2022,023XX S MARSHALL BLVD,OTHER OFFENSE,VIOLATION OF BAIL BOND - DOMESTIC VIOLENCE,APARTMENT,FALSE,TRUE,10,30,2015,13:08:00,29.4260809,77.95913761,38-42,Noon,Tuesday
117,12613947,JF138478,02-02-2022,026XX S DR MARTIN LUTHER KING JR DR,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1,35,2015,0:00:00,31.20851882,78.0995976,379,Late Night,Tuesday
118,12610631,JF135375,04-02-2022,006XX W STRATFORD PL,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,19,6,2015,9:00:00,31.58266087,78.28382737,206,Morning,Thursday
119,12609127,JF133361,04-02-2022,075XX S CARPENTER ST,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,6,71,2015,9:05:00,30.94148969,80.56703031,352,Morning,Thursday
120,12609011,JF133206,04-02-2022,007XX E 47TH ST,CRIMINAL TRESPASS,TO LAND,RESTAURANT,FALSE,FALSE,2,38,2015,1:01:00,29.99088711,78.31880326,441,Late Night,Thursday
121,12609510,JF133938,04-02-2022,122XX S WALLACE ST,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,5,53,2015,16:55:00,31.42877846,79.7365727,427,Evening,Thursday
122,12610250,JF134938,04-02-2022,036XX W 55TH PL,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,8,62,2015,16:00:00,31.37222646,80.27786089,378,Evening,Thursday
123,12609320,JF133693,04-02-2022,0000X W JACKSON BLVD,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,1,32,2015,13:30:00,29.40848623,81.17032477,378,Noon,Thursday
124,12613447,JF138871,24-01-2022,015XX N NORTH PARK AVE,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,FALSE,FALSE,18,8,2015,12:00:00,30.41961924,77.96311768,206,Noon,Wednesday
125,12609351,JF133607,04-02-2022,0000X E 71ST ST,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,3,69,2015,12:35:00,29.06765669,77.78263901,352,Noon,Thursday
126,12610072,JF134500,04-02-2022,063XX N LOWELL AVE,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,FALSE,FALSE,17,12,2015,9:00:00,29.30162767,77.70539892,206,Morning,Thursday
